SYMBOL,TIMESTAMP,TYPE,MATURITY,STRIKE,UNDERLYING,BID,ASK 
ZNGA,1328031180,C,1329544800,6.0,10.255,4.2,4.4
ZNGA,1328031180,P,1329544800,7.0,10.255,0.0,0.05
ZNGA,1328031180,C,1329544800,7.0,10.255,3.2,3.4
ZNGA,1328031180,C,1329544800,10.0,10.255,0.8,0.95
ZNGA,1328031180,P,1329544800,10.0,10.255,0.6,0.7
ZNGA,1328031180,C,1331960400,10.0,10.255,1.25,1.35
ZNGA,1328031180,P,1331960400,10.0,10.255,1.05,1.15
ZNGA,1328031180,P,1329544800,8.0,10.255,0.05,0.15
ZNGA,1328031180,C,1329544800,8.0,10.255,2.25,2.4
ZNGA,1328031180,P,1329544800,9.0,10.255,0.25,0.3
ZNGA,1328031180,C,1329544800,9.0,10.255,1.45,1.6
ZNGA,1328031180,P,1331960400,8.0,10.255,0.3,0.4
ZNGA,1328031180,C,1331960400,8.0,10.255,2.5,2.6
ZNGA,1328031180,P,1331960400,9.0,10.255,0.65,0.7
ZNGA,1328031180,C,1331960400,9.0,10.255,1.8,1.95
ZNGA,1328031180,C,1329544800,12.0,10.255,0.2,0.25
ZNGA,1328031180,P,1329544800,12.0,10.255,1.95,2.1
ZNGA,1328031180,C,1329544800,11.0,10.255,0.45,0.5
ZNGA,1328031180,P,1329544800,11.0,10.255,1.2,1.3
ZNGA,1328031180,C,1331960400,6.0,10.255,4.2,4.4
ZNGA,1328031180,P,1331960400,6.0,10.255,0.0,0.1
ZNGA,1328031180,C,1329544800,14.0,10.255,0.0,0.1
ZNGA,1328031180,P,1329544800,14.0,10.255,3.7,4.1
ZNGA,1328031180,C,1329544800,13.0,10.255,0.1,0.15
ZNGA,1328031180,P,1329544800,13.0,10.255,2.7,3.1
ZNGA,1328031180,C,1331960400,5.0,10.255,5.2,5.4
ZNGA,1328031180,C,1329544800,15.0,10.255,0.0,0.05
ZNGA,1328031180,P,1329544800,15.0,10.255,4.7,4.9
ZNGA,1328031180,C,1331960400,15.0,10.255,0.1,0.2
ZNGA,1328031180,P,1331960400,15.0,10.255,4.8,5.2
ZNGA,1328031180,C,1331960400,14.0,10.255,0.15,0.45
ZNGA,1328031180,P,1331960400,14.0,10.255,4.0,4.2
ZNGA,1328031180,C,1331960400,11.0,10.255,0.85,0.95
ZNGA,1328031180,P,1331960400,11.0,10.255,1.65,1.75
ZNGA,1328031180,C,1331960400,7.0,10.255,3.3,3.5
ZNGA,1328031180,P,1331960400,7.0,10.255,0.15,0.2
ZNGA,1328031180,C,1331960400,13.0,10.255,0.35,0.45
ZNGA,1328031180,P,1331960400,13.0,10.255,3.1,3.3
ZNGA,1328031180,C,1331960400,12.0,10.255,0.55,0.65
ZNGA,1328031180,P,1331960400,12.0,10.255,2.15,2.55
ZNGA,1328031180,P,1339822800,2.0,10.255,0.0,0.25
ZNGA,1328031180,P,1339822800,17.0,10.255,7.2,7.4
ZNGA,1328031180,P,1339822800,1.0,10.255,0.0,0.25
ZNGA,1328031180,C,1339822800,1.0,10.255,9.0,9.8
ZNGA,1328031180,C,1339822800,17.0,10.255,0.3,0.45
ZNGA,1328031180,C,1339822800,2.0,10.255,8.0,8.8
ZNGA,1328031180,P,1339822800,18.0,10.255,7.7,8.4
ZNGA,1328031180,C,1339822800,18.0,10.255,0.2,0.45
ZNGA,1328031180,P,1339822800,3.0,10.255,0.0,0.25
ZNGA,1328031180,C,1339822800,3.0,10.255,7.0,7.8
ZNGA,1328031180,P,1339822800,4.0,10.255,0.0,0.15
ZNGA,1328031180,C,1339822800,4.0,10.255,6.0,6.5
ZNGA,1328031180,P,1339822800,16.0,10.255,5.9,6.6
ZNGA,1328031180,C,1339822800,16.0,10.255,0.25,0.65
ZNGA,1328031180,C,1331960400,17.0,10.255,0.0,0.25
ZNGA,1328031180,P,1331960400,17.0,10.255,6.4,7.1
ZNGA,1328031180,C,1331960400,2.0,10.255,8.0,8.8
ZNGA,1328031180,P,1329544800,2.0,10.255,0.0,0.25
ZNGA,1328031180,P,1331960400,2.0,10.255,0.0,0.25
ZNGA,1328031180,C,1329544800,1.0,10.255,9.0,9.4
ZNGA,1328031180,P,1331960400,18.0,10.255,7.4,8.1
ZNGA,1328031180,C,1331960400,18.0,10.255,0.0,0.1
ZNGA,1328031180,P,1331960400,1.0,10.255,0.0,0.25
ZNGA,1328031180,P,1329544800,1.0,10.255,0.0,0.25
ZNGA,1328031180,C,1331960400,1.0,10.255,9.0,9.8
ZNGA,1328031180,C,1329544800,2.0,10.255,8.0,8.4
ZNGA,1328031180,P,1329544800,4.0,10.255,0.0,0.25
ZNGA,1328031180,C,1329544800,4.0,10.255,6.0,6.4
ZNGA,1328031180,P,1331960400,4.0,10.255,0.0,0.05
ZNGA,1328031180,C,1331960400,4.0,10.255,6.0,6.8
ZNGA,1328031180,P,1331960400,3.0,10.255,0.0,0.25
ZNGA,1328031180,C,1331960400,3.0,10.255,7.0,7.8
ZNGA,1328031180,P,1329544800,3.0,10.255,0.0,0.25
ZNGA,1328031180,C,1329544800,3.0,10.255,7.0,7.4
ZNGA,1328031180,P,1331960400,16.0,10.255,5.4,6.2
ZNGA,1328031180,C,1339822800,19.0,10.255,0.15,0.4
ZNGA,1328031180,P,1339822800,19.0,10.255,8.7,9.4
ZNGA,1328031180,P,1348290000,19.0,10.255,9.3,9.7
ZNGA,1328031180,P,1348290000,18.0,10.255,8.4,8.7
ZNGA,1328031180,C,1348290000,18.0,10.255,0.5,0.8
ZNGA,1328031180,C,1348290000,19.0,10.255,0.45,0.6
ZNGA,1328031180,C,1348290000,2.0,10.255,8.0,8.8
ZNGA,1328031180,C,1348290000,1.0,10.255,9.0,9.8
ZNGA,1328031180,C,1348290000,6.0,10.255,4.6,4.9
ZNGA,1328031180,C,1348290000,5.0,10.255,5.4,5.6
ZNGA,1328031180,C,1348290000,4.0,10.255,6.1,6.6
ZNGA,1328031180,C,1348290000,3.0,10.255,7.0,7.8
ZNGA,1328031180,C,1348290000,8.0,10.255,3.3,3.6
ZNGA,1328031180,C,1348290000,7.0,10.255,3.9,4.2
ZNGA,1328031180,C,1348290000,10.0,10.255,2.35,2.55
ZNGA,1328031180,C,1348290000,9.0,10.255,2.8,3.1
ZNGA,1328031180,C,1348290000,12.0,10.255,1.6,1.8
ZNGA,1328031180,C,1348290000,11.0,10.255,2.0,2.15
ZNGA,1328031180,C,1348290000,14.0,10.255,1.2,1.3
ZNGA,1328031180,C,1348290000,13.0,10.255,1.3,1.5
ZNGA,1328031180,C,1348290000,16.0,10.255,0.75,1.1
ZNGA,1328031180,C,1348290000,15.0,10.255,0.9,1.1
ZNGA,1328031180,C,1348290000,17.0,10.255,0.6,0.95
ZNGA,1328031180,P,1348290000,2.0,10.255,0.0,0.25
ZNGA,1328031180,P,1348290000,1.0,10.255,0.0,0.25
ZNGA,1328031180,P,1348290000,4.0,10.255,0.15,0.35
ZNGA,1328031180,P,1348290000,3.0,10.255,0.05,0.25
ZNGA,1328031180,P,1348290000,6.0,10.255,0.6,0.75
ZNGA,1328031180,P,1348290000,5.0,10.255,0.3,0.45
ZNGA,1328031180,P,1348290000,7.0,10.255,0.95,1.1
ZNGA,1328031180,P,1348290000,8.0,10.255,1.35,1.5
ZNGA,1328031180,P,1348290000,9.0,10.255,1.8,1.95
ZNGA,1328031180,P,1348290000,10.0,10.255,2.15,2.5
ZNGA,1328031180,P,1348290000,11.0,10.255,2.75,3.2
ZNGA,1328031180,P,1348290000,12.0,10.255,3.4,3.8
ZNGA,1328031180,P,1348290000,13.0,10.255,4.1,4.6
ZNGA,1328031180,P,1348290000,14.0,10.255,4.8,5.3
ZNGA,1328031180,P,1348290000,16.0,10.255,6.4,7.0
ZNGA,1328031180,P,1348290000,15.0,10.255,5.6,6.1
ZNGA,1328031180,P,1348290000,17.0,10.255,7.6,7.8
ZNGA,1328031180,C,1331960400,16.0,10.255,0.05,0.25
ZNGA,1328031180,C,1339822800,20.0,10.255,0.15,0.35
ZNGA,1328031180,C,1348290000,20.0,10.255,0.35,0.6
ZNGA,1328031180,P,1339822800,20.0,10.255,9.6,10.3
ZNGA,1328031180,P,1348290000,20.0,10.255,9.9,10.6
ZNGA,1328031180,P,1331960400,5.0,10.255,0.0,0.05
ZNGA,1328031180,C,1331960400,19.0,10.255,0.0,0.05
ZNGA,1328031210,P,1331960400,19.0,10.255,8.3,9.1
ZNGA,1328031210,C,1339822800,10.0,10.255,1.9,2.05
ZNGA,1328031210,P,1339822800,10.0,10.255,1.8,1.95
ZNGA,1328031210,P,1339822800,8.0,10.255,0.9,1.0
ZNGA,1328031210,C,1339822800,8.0,10.255,3.0,3.2
ZNGA,1328031210,P,1339822800,9.0,10.255,1.3,1.45
ZNGA,1328031210,C,1339822800,9.0,10.255,2.4,2.55
ZNGA,1328031210,C,1339822800,6.0,10.255,4.3,4.6
ZNGA,1328031210,P,1339822800,6.0,10.255,0.25,0.5
ZNGA,1328031210,C,1339822800,5.0,10.255,5.2,5.5
ZNGA,1328031210,P,1339822800,5.0,10.255,0.1,0.3
ZNGA,1328031210,C,1339822800,14.0,10.255,0.7,0.85
ZNGA,1328031210,C,1339822800,11.0,10.255,1.45,1.65
ZNGA,1328031210,P,1339822800,11.0,10.255,2.15,2.65
ZNGA,1328031210,C,1339822800,7.0,10.255,3.6,3.9
ZNGA,1328031210,P,1339822800,7.0,10.255,0.6,0.7
ZNGA,1328031210,C,1339822800,13.0,10.255,0.9,1.05
ZNGA,1328031210,P,1339822800,13.0,10.255,3.7,4.1
ZNGA,1328031210,C,1339822800,12.0,10.255,1.15,1.3
ZNGA,1328031210,P,1339822800,12.0,10.255,2.8,3.4
ZNGA,1328031210,P,1339822800,15.0,10.255,5.1,5.7
ZNGA,1328031210,P,1339822800,14.0,10.255,4.5,4.9
ZNGA,1328031210,C,1339822800,15.0,10.255,0.55,0.65
ZNGA,1328031210,P,1329544800,5.0,10.255,0.0,0.25
ZNGA,1328031210,C,1329544800,5.0,10.255,5.2,5.4
ZNGA,1328031210,P,1329544800,6.0,10.255,0.0,0.05
ZNGA,1328031210,C,1329544800,6.0,10.255,4.2,4.4
ZNGA,1328031210,P,1329544800,7.0,10.255,0.0,0.05
ZNGA,1328031210,C,1329544800,7.0,10.255,3.2,3.4
ZNGA,1328031210,C,1329544800,10.0,10.255,0.8,0.95
ZNGA,1328031210,P,1329544800,10.0,10.255,0.6,0.7
ZNGA,1328031210,C,1331960400,10.0,10.255,1.25,1.35
ZNGA,1328031210,P,1331960400,10.0,10.255,1.05,1.15
ZNGA,1328031210,P,1329544800,8.0,10.255,0.05,0.15
ZNGA,1328031210,C,1329544800,8.0,10.255,2.25,2.4
ZNGA,1328031210,P,1329544800,9.0,10.255,0.25,0.3
ZNGA,1328031210,C,1329544800,9.0,10.255,1.45,1.6
ZNGA,1328031210,P,1331960400,8.0,10.255,0.3,0.4
ZNGA,1328031210,C,1331960400,8.0,10.255,2.5,2.6
ZNGA,1328031210,P,1331960400,9.0,10.255,0.65,0.7
ZNGA,1328031210,C,1331960400,9.0,10.255,1.8,1.95
ZNGA,1328031210,C,1329544800,12.0,10.255,0.2,0.25
ZNGA,1328031210,P,1329544800,12.0,10.255,1.95,2.1
ZNGA,1328031210,C,1329544800,11.0,10.255,0.5,0.55
ZNGA,1328031210,P,1329544800,11.0,10.255,1.2,1.3
ZNGA,1328031210,C,1331960400,6.0,10.255,4.2,4.4
ZNGA,1328031210,P,1331960400,6.0,10.255,0.0,0.1
ZNGA,1328031210,C,1329544800,14.0,10.255,0.0,0.1
ZNGA,1328031210,P,1329544800,14.0,10.255,3.7,4.1
ZNGA,1328031210,C,1329544800,13.0,10.255,0.1,0.15
ZNGA,1328031210,P,1329544800,13.0,10.255,2.7,3.1
ZNGA,1328031210,C,1331960400,5.0,10.255,5.2,5.4
ZNGA,1328031210,C,1329544800,15.0,10.255,0.0,0.05
ZNGA,1328031210,P,1329544800,15.0,10.255,4.7,4.9
ZNGA,1328031210,C,1331960400,15.0,10.255,0.1,0.2
ZNGA,1328031210,P,1331960400,15.0,10.255,4.8,5.2
ZNGA,1328031210,C,1331960400,14.0,10.255,0.15,0.45
ZNGA,1328031210,P,1331960400,14.0,10.255,4.0,4.2
ZNGA,1328031210,C,1331960400,11.0,10.255,0.85,0.95
ZNGA,1328031210,P,1331960400,11.0,10.255,1.65,1.75
ZNGA,1328031210,C,1331960400,7.0,10.255,3.3,3.5
ZNGA,1328031210,P,1331960400,7.0,10.255,0.15,0.2
ZNGA,1328031210,C,1331960400,13.0,10.255,0.35,0.45
ZNGA,1328031210,P,1331960400,13.0,10.255,3.1,3.3
ZNGA,1328031210,C,1331960400,12.0,10.255,0.55,0.65
ZNGA,1328031210,P,1331960400,12.0,10.255,2.15,2.55
ZNGA,1328031210,P,1339822800,2.0,10.255,0.0,0.25
ZNGA,1328031210,P,1339822800,17.0,10.255,7.2,7.4
ZNGA,1328031210,P,1339822800,1.0,10.255,0.0,0.25
ZNGA,1328031210,C,1339822800,1.0,10.255,9.0,9.8
ZNGA,1328031210,C,1339822800,17.0,10.255,0.3,0.45
ZNGA,1328031210,C,1339822800,2.0,10.255,8.0,8.8
ZNGA,1328031210,P,1339822800,18.0,10.255,7.7,8.4
ZNGA,1328031210,C,1339822800,18.0,10.255,0.2,0.45
ZNGA,1328031210,P,1339822800,3.0,10.255,0.0,0.25
ZNGA,1328031210,C,1339822800,3.0,10.255,7.0,7.8
ZNGA,1328031210,P,1339822800,4.0,10.255,0.0,0.15
ZNGA,1328031210,C,1339822800,4.0,10.255,6.0,6.5
ZNGA,1328031210,P,1339822800,16.0,10.255,5.9,6.6
ZNGA,1328031210,C,1339822800,16.0,10.255,0.25,0.65
ZNGA,1328031210,C,1331960400,17.0,10.255,0.0,0.25
ZNGA,1328031210,P,1331960400,17.0,10.255,6.4,7.1
ZNGA,1328031210,C,1331960400,2.0,10.255,8.0,8.8
ZNGA,1328031210,P,1329544800,2.0,10.255,0.0,0.25
ZNGA,1328031210,P,1331960400,2.0,10.255,0.0,0.25
ZNGA,1328031210,C,1329544800,1.0,10.255,9.0,9.4
ZNGA,1328031210,P,1331960400,18.0,10.255,7.4,8.1
ZNGA,1328031210,C,1331960400,18.0,10.255,0.0,0.1
ZNGA,1328031210,P,1331960400,1.0,10.255,0.0,0.25
ZNGA,1328031210,P,1329544800,1.0,10.255,0.0,0.25
ZNGA,1328031210,C,1331960400,1.0,10.255,9.0,9.8
ZNGA,1328031210,C,1329544800,2.0,10.255,8.0,8.4
ZNGA,1328031210,P,1329544800,4.0,10.255,0.0,0.25
ZNGA,1328031210,C,1329544800,4.0,10.255,6.0,6.4
ZNGA,1328031210,P,1331960400,4.0,10.255,0.0,0.05
ZNGA,1328031210,C,1331960400,4.0,10.255,6.0,6.8
ZNGA,1328031210,P,1331960400,3.0,10.255,0.0,0.25
ZNGA,1328031210,C,1331960400,3.0,10.255,7.0,7.8
ZNGA,1328031210,P,1329544800,3.0,10.255,0.0,0.25
ZNGA,1328031210,C,1329544800,3.0,10.255,7.0,7.4
ZNGA,1328031210,P,1331960400,16.0,10.255,5.4,6.2
ZNGA,1328031210,C,1339822800,19.0,10.255,0.15,0.4
ZNGA,1328031210,P,1339822800,19.0,10.255,8.7,9.4
ZNGA,1328031210,P,1348290000,19.0,10.255,9.3,9.7
ZNGA,1328031210,P,1348290000,18.0,10.255,8.4,8.7
ZNGA,1328031210,C,1348290000,18.0,10.255,0.5,0.8
ZNGA,1328031210,C,1348290000,19.0,10.255,0.45,0.6
ZNGA,1328031210,C,1348290000,2.0,10.255,8.0,8.8
ZNGA,1328031210,C,1348290000,1.0,10.255,9.0,9.8
ZNGA,1328031210,C,1348290000,6.0,10.255,4.6,4.9
ZNGA,1328031210,C,1348290000,5.0,10.255,5.4,5.6
ZNGA,1328031210,C,1348290000,4.0,10.255,6.1,6.6
ZNGA,1328031210,C,1348290000,3.0,10.255,7.0,7.8
ZNGA,1328031210,C,1348290000,8.0,10.255,3.3,3.6
ZNGA,1328031210,C,1348290000,7.0,10.255,3.9,4.2
ZNGA,1328031210,C,1348290000,10.0,10.255,2.35,2.55
ZNGA,1328031210,C,1348290000,9.0,10.255,2.8,3.1
ZNGA,1328031210,C,1348290000,12.0,10.255,1.6,1.8
ZNGA,1328031210,C,1348290000,11.0,10.255,2.0,2.15
ZNGA,1328031210,C,1348290000,14.0,10.255,1.2,1.3
ZNGA,1328031210,C,1348290000,13.0,10.255,1.3,1.5
ZNGA,1328031210,C,1348290000,16.0,10.255,0.75,1.1
ZNGA,1328031210,C,1348290000,15.0,10.255,0.9,1.1
ZNGA,1328031210,C,1348290000,17.0,10.255,0.6,0.95
ZNGA,1328031210,P,1348290000,2.0,10.255,0.0,0.25
ZNGA,1328031210,P,1348290000,1.0,10.255,0.0,0.25
ZNGA,1328031210,P,1348290000,4.0,10.255,0.15,0.35
ZNGA,1328031210,P,1348290000,3.0,10.255,0.05,0.25
ZNGA,1328031210,P,1348290000,6.0,10.255,0.6,0.75
ZNGA,1328031210,P,1348290000,5.0,10.255,0.3,0.45
ZNGA,1328031210,P,1348290000,7.0,10.255,0.95,1.1
ZNGA,1328031210,P,1348290000,8.0,10.255,1.35,1.5
ZNGA,1328031210,P,1348290000,9.0,10.255,1.8,1.95
ZNGA,1328031210,P,1348290000,10.0,10.255,2.15,2.5
ZNGA,1328031210,P,1348290000,11.0,10.255,2.75,3.2
ZNGA,1328031210,P,1348290000,12.0,10.255,3.4,3.8
ZNGA,1328031210,P,1348290000,13.0,10.255,4.1,4.6
ZNGA,1328031210,P,1348290000,14.0,10.255,4.8,5.3
ZNGA,1328031210,P,1348290000,16.0,10.255,6.4,7.0
ZNGA,1328031210,P,1348290000,15.0,10.255,5.6,6.1
ZNGA,1328031210,P,1348290000,17.0,10.255,7.6,7.8
ZNGA,1328031210,C,1331960400,16.0,10.255,0.05,0.25
ZNGA,1328031210,C,1339822800,20.0,10.255,0.15,0.35
ZNGA,1328031210,C,1348290000,20.0,10.255,0.35,0.6
ZNGA,1328031210,P,1339822800,20.0,10.255,9.6,10.3
ZNGA,1328031210,P,1348290000,20.0,10.255,9.9,10.6
ZNGA,1328031210,P,1331960400,5.0,10.255,0.0,0.05
ZNGA,1328031210,C,1331960400,19.0,10.255,0.0,0.05
ZNGA,1328031240,P,1331960400,19.0,10.225,8.3,9.1
ZNGA,1328031240,C,1339822800,10.0,10.225,1.85,2.05
ZNGA,1328031240,P,1339822800,10.0,10.225,1.8,2.0
ZNGA,1328031240,P,1339822800,8.0,10.225,0.9,1.0
ZNGA,1328031240,C,1339822800,8.0,10.225,3.0,3.2
ZNGA,1328031240,P,1339822800,9.0,10.225,1.35,1.45
ZNGA,1328031240,C,1339822800,9.0,10.225,2.35,2.55
ZNGA,1328031240,C,1339822800,6.0,10.225,4.3,4.6
ZNGA,1328031240,P,1339822800,6.0,10.225,0.25,0.5
ZNGA,1328031240,C,1339822800,5.0,10.225,5.2,5.5
ZNGA,1328031240,P,1339822800,5.0,10.225,0.1,0.3
ZNGA,1328031240,C,1339822800,14.0,10.225,0.7,0.85
ZNGA,1328031240,C,1339822800,11.0,10.225,1.45,1.65
ZNGA,1328031240,P,1339822800,11.0,10.225,2.15,2.65
ZNGA,1328031240,C,1339822800,7.0,10.225,3.6,3.9
ZNGA,1328031240,P,1339822800,7.0,10.225,0.6,0.7
ZNGA,1328031240,C,1339822800,13.0,10.225,0.9,1.05
ZNGA,1328031240,P,1339822800,13.0,10.225,3.7,4.1
ZNGA,1328031240,C,1339822800,12.0,10.225,1.15,1.3
ZNGA,1328031240,P,1339822800,12.0,10.225,2.8,3.4
ZNGA,1328031240,P,1339822800,15.0,10.225,5.1,5.7
ZNGA,1328031240,P,1339822800,14.0,10.225,4.5,4.9
ZNGA,1328031240,C,1339822800,15.0,10.225,0.5,0.65
ZNGA,1328031240,P,1329544800,5.0,10.225,0.0,0.25
ZNGA,1328031240,C,1329544800,5.0,10.225,5.1,5.3
ZNGA,1328031240,P,1329544800,6.0,10.225,0.0,0.05
ZNGA,1328031240,C,1329544800,6.0,10.225,4.1,4.3
ZNGA,1328031240,P,1329544800,7.0,10.225,0.0,0.05
ZNGA,1328031240,C,1329544800,7.0,10.225,3.2,3.4
ZNGA,1328031240,C,1329544800,10.0,10.225,0.8,0.95
ZNGA,1328031240,P,1329544800,10.0,10.225,0.6,0.7
ZNGA,1328031240,C,1331960400,10.0,10.225,1.25,1.35
ZNGA,1328031240,P,1331960400,10.0,10.225,1.05,1.15
ZNGA,1328031240,P,1329544800,8.0,10.225,0.05,0.15
ZNGA,1328031240,C,1329544800,8.0,10.225,2.25,2.4
ZNGA,1328031240,P,1329544800,9.0,10.225,0.25,0.3
ZNGA,1328031240,C,1329544800,9.0,10.225,1.45,1.55
ZNGA,1328031240,P,1331960400,8.0,10.225,0.3,0.4
ZNGA,1328031240,C,1331960400,8.0,10.225,2.5,2.6
ZNGA,1328031240,P,1331960400,9.0,10.225,0.65,0.7
ZNGA,1328031240,C,1331960400,9.0,10.225,1.8,1.95
ZNGA,1328031240,C,1329544800,12.0,10.225,0.2,0.25
ZNGA,1328031240,P,1329544800,12.0,10.225,1.95,2.1
ZNGA,1328031240,C,1329544800,11.0,10.225,0.45,0.55
ZNGA,1328031240,P,1329544800,11.0,10.225,1.2,1.3
ZNGA,1328031240,C,1331960400,6.0,10.225,4.2,4.4
ZNGA,1328031240,P,1331960400,6.0,10.225,0.0,0.1
ZNGA,1328031240,C,1329544800,14.0,10.225,0.0,0.1
ZNGA,1328031240,P,1329544800,14.0,10.225,3.7,4.1
ZNGA,1328031240,C,1329544800,13.0,10.225,0.1,0.15
ZNGA,1328031240,P,1329544800,13.0,10.225,2.7,3.1
ZNGA,1328031240,C,1331960400,5.0,10.225,5.1,5.4
ZNGA,1328031240,C,1329544800,15.0,10.225,0.0,0.05
ZNGA,1328031240,P,1329544800,15.0,10.225,4.7,4.9
ZNGA,1328031240,C,1331960400,15.0,10.225,0.1,0.2
ZNGA,1328031240,P,1331960400,15.0,10.225,4.8,5.2
ZNGA,1328031240,C,1331960400,14.0,10.225,0.15,0.45
ZNGA,1328031240,P,1331960400,14.0,10.225,4.0,4.2
ZNGA,1328031240,C,1331960400,11.0,10.225,0.85,0.95
ZNGA,1328031240,P,1331960400,11.0,10.225,1.65,1.75
ZNGA,1328031240,C,1331960400,7.0,10.225,3.3,3.5
ZNGA,1328031240,P,1331960400,7.0,10.225,0.15,0.2
ZNGA,1328031240,C,1331960400,13.0,10.225,0.35,0.45
ZNGA,1328031240,P,1331960400,13.0,10.225,3.1,3.3
ZNGA,1328031240,C,1331960400,12.0,10.225,0.55,0.65
ZNGA,1328031240,P,1331960400,12.0,10.225,2.15,2.55
ZNGA,1328031240,P,1339822800,2.0,10.225,0.0,0.25
ZNGA,1328031240,P,1339822800,17.0,10.225,7.2,7.4
ZNGA,1328031240,P,1339822800,1.0,10.225,0.0,0.25
ZNGA,1328031240,C,1339822800,1.0,10.225,9.0,9.8
ZNGA,1328031240,C,1339822800,17.0,10.225,0.3,0.45
ZNGA,1328031240,C,1339822800,2.0,10.225,8.0,8.8
ZNGA,1328031240,P,1339822800,18.0,10.225,7.7,8.4
ZNGA,1328031240,C,1339822800,18.0,10.225,0.2,0.45
ZNGA,1328031240,P,1339822800,3.0,10.225,0.0,0.25
ZNGA,1328031240,C,1339822800,3.0,10.225,7.0,7.8
ZNGA,1328031240,P,1339822800,4.0,10.225,0.0,0.15
ZNGA,1328031240,C,1339822800,4.0,10.225,6.0,6.5
ZNGA,1328031240,P,1339822800,16.0,10.225,5.9,6.6
ZNGA,1328031240,C,1339822800,16.0,10.225,0.25,0.65
ZNGA,1328031240,C,1331960400,17.0,10.225,0.0,0.25
ZNGA,1328031240,P,1331960400,17.0,10.225,6.4,7.1
ZNGA,1328031240,C,1331960400,2.0,10.225,8.0,8.8
ZNGA,1328031240,P,1329544800,2.0,10.225,0.0,0.25
ZNGA,1328031240,P,1331960400,2.0,10.225,0.0,0.25
ZNGA,1328031240,C,1329544800,1.0,10.225,9.0,9.4
ZNGA,1328031240,P,1331960400,18.0,10.225,7.4,8.1
ZNGA,1328031240,C,1331960400,18.0,10.225,0.0,0.1
ZNGA,1328031240,P,1331960400,1.0,10.225,0.0,0.25
ZNGA,1328031240,P,1329544800,1.0,10.225,0.0,0.25
ZNGA,1328031240,C,1331960400,1.0,10.225,9.0,9.8
ZNGA,1328031240,C,1329544800,2.0,10.225,8.0,8.4
ZNGA,1328031240,P,1329544800,4.0,10.225,0.0,0.25
ZNGA,1328031240,C,1329544800,4.0,10.225,6.0,6.4
ZNGA,1328031240,P,1331960400,4.0,10.225,0.0,0.05
ZNGA,1328031240,C,1331960400,4.0,10.225,6.0,6.8
ZNGA,1328031240,P,1331960400,3.0,10.225,0.0,0.25
ZNGA,1328031240,C,1331960400,3.0,10.225,7.0,7.8
ZNGA,1328031240,P,1329544800,3.0,10.225,0.0,0.25
ZNGA,1328031240,C,1329544800,3.0,10.225,7.0,7.4
ZNGA,1328031240,P,1331960400,16.0,10.225,5.4,6.2
ZNGA,1328031240,C,1339822800,19.0,10.225,0.15,0.4
ZNGA,1328031240,P,1339822800,19.0,10.225,8.7,9.4
ZNGA,1328031240,P,1348290000,19.0,10.225,9.3,9.7
ZNGA,1328031240,P,1348290000,18.0,10.225,8.4,8.7
ZNGA,1328031240,C,1348290000,18.0,10.225,0.5,0.8
ZNGA,1328031240,C,1348290000,19.0,10.225,0.45,0.6
ZNGA,1328031240,C,1348290000,2.0,10.225,8.0,8.8
ZNGA,1328031240,C,1348290000,1.0,10.225,9.0,9.8
ZNGA,1328031240,C,1348290000,6.0,10.225,4.6,4.9
ZNGA,1328031240,C,1348290000,5.0,10.225,5.4,5.6
ZNGA,1328031240,C,1348290000,4.0,10.225,6.1,6.6
ZNGA,1328031240,C,1348290000,3.0,10.225,7.0,7.8
ZNGA,1328031240,C,1348290000,8.0,10.225,3.3,3.6
ZNGA,1328031240,C,1348290000,7.0,10.225,3.9,4.2
ZNGA,1328031240,C,1348290000,10.0,10.225,2.35,2.55
ZNGA,1328031240,C,1348290000,9.0,10.225,2.8,3.1
ZNGA,1328031240,C,1348290000,12.0,10.225,1.6,1.8
ZNGA,1328031240,C,1348290000,11.0,10.225,2.0,2.15
ZNGA,1328031240,C,1348290000,14.0,10.225,1.2,1.3
ZNGA,1328031240,C,1348290000,13.0,10.225,1.3,1.5
ZNGA,1328031240,C,1348290000,16.0,10.225,0.75,1.1
ZNGA,1328031240,C,1348290000,15.0,10.225,0.9,1.1
ZNGA,1328031240,C,1348290000,17.0,10.225,0.6,0.95
ZNGA,1328031240,P,1348290000,2.0,10.225,0.0,0.25
ZNGA,1328031240,P,1348290000,1.0,10.225,0.0,0.25
ZNGA,1328031240,P,1348290000,4.0,10.225,0.15,0.35
ZNGA,1328031240,P,1348290000,3.0,10.225,0.05,0.25
ZNGA,1328031240,P,1348290000,6.0,10.225,0.6,0.75
ZNGA,1328031240,P,1348290000,5.0,10.225,0.3,0.45
ZNGA,1328031240,P,1348290000,7.0,10.225,0.95,1.1
ZNGA,1328031240,P,1348290000,8.0,10.225,1.35,1.5
ZNGA,1328031240,P,1348290000,9.0,10.225,1.8,1.95
ZNGA,1328031240,P,1348290000,10.0,10.225,2.15,2.5
ZNGA,1328031240,P,1348290000,11.0,10.225,2.75,3.2
ZNGA,1328031240,P,1348290000,12.0,10.225,3.4,3.8
ZNGA,1328031240,P,1348290000,13.0,10.225,4.1,4.6
ZNGA,1328031240,P,1348290000,14.0,10.225,4.8,5.3
ZNGA,1328031240,P,1348290000,16.0,10.225,6.4,7.0
ZNGA,1328031240,P,1348290000,15.0,10.225,5.6,6.1
